u,g,r,i,z,target
19.2409992218,17.5259990692,16.8400001526,16.6130008698,16.4920005798,star
19.732000351,18.3390007019,17.7670001984,17.5799999237,17.4810009003,star
16.1200008392,15.232000351,14.9329996109,14.845000267,14.8269996643,star
18.9950008392,18.1509990692,17.8770008087,17.7469997406,17.7660007477,star
19.031999588,18.1119995117,17.8479995728,17.7099990845,17.7119998932,star
20.2840003967,18.4349994659,17.6940002441,17.4479999542,17.3470001221,star
21.4570007324,19.4810009003,18.5340003967,18.2269992828,17.9740009308,star
18.3390007019,17.452999115,17.1749992371,17.091999054,17.0480003357,star
18.843000412,17.8689994812,17.5559997559,17.4319992065,17.392999649,star
19.0160007477,16.763999939,15.8579998016,15.5129995346,15.3199996948,star
18.920999527,18.0650005341,17.5680007935,17.3710002899,17.2399997711,star
16.4589996338,15.5080003738,15.0780000687,14.9169998169,14.843000412,star
19.8209991455,18.4090003967,17.8689994812,17.6459999084,17.5580005646,star
17.533000946,16.5419998169,16.2140007019,16.1009998322,16.1159992218,star
18.5370006561,17.3689994812,16.8589992523,16.6030006409,16.468000412,star
19.5520000458,18.1650009155,17.6130008698,17.3689994812,17.2709999084,star
19.1049995422,18.0100002289,17.8680000305,17.8689994812,17.9640007019,star
16.7630004883,15.8680000305,15.6149997711,15.4949998856,15.4940004349,star
17.9370002747,16.468000412,15.9180002213,15.6990003586,15.607000351,star
20.1609992981,19.1270008087,18.718000412,18.5069999695,18.3680000305,star
20.5079994202,18.4920005798,17.5720005035,17.2859992981,17.0279998779,star
20.6009998322,19.6800003052,19.4230003357,19.3150005341,19.2549991608,star
19.3589992523,18.1240005493,17.6140003204,17.4179992676,17.3209991455,star
19.2649993896,18.2520008087,17.732000351,17.5149993896,17.3400001526,star
20.2719993591,19.2999992371,18.8980007172,18.7380008698,18.7129993439,star
19.5529994965,17.9279994965,17.283000946,17.0310001373,16.9640007019,star
19.4109992981,18.5879993439,18.2539997101,18.1439990997,18.1299991608,star
18.4979991913,17.3220005035,17.3439998627,17.4419994354,17.5690002441,star
18.5079994202,17.6690006256,17.2989997864,17.1679992676,17.1380004883,star
19.4769992828,18.5020008087,18.1849994659,18.0340003967,18.0200004578,star
19.9619998932,18.9899997711,18.625,18.4570007324,18.3729991913,star
19.2569999695,17.7759990692,17.1380004883,16.8439998627,16.6790008545,star
17.9099998474,16.783000946,16.3700008392,16.2399997711,16.1760005951,star
18.6399993896,16.9330005646,16.1229991913,15.8190002441,15.6149997711,star
19.4500007629,18.1609992981,17.6159992218,17.3649997711,17.2670001984,star
20.5909996033,19.2210006714,18.7099990845,18.563999176,18.5690002441,star
19.1100006104,17.7689990997,17.2159996033,17.0489997864,17.0039997101,star
18.5090007782,17.6410007477,17.3630008698,17.2350006104,17.2350006104,star
20.513999939,19.2980003357,18.8209991455,18.6280002594,18.5590000153,star
17.6650009155,16.7210006714,16.4200000763,16.2910003662,16.2600002289,star
17.2019996643,15.5760002136,14.986000061,14.7609996796,14.6370000839,star
19.1240005493,18.138999939,17.8829994202,17.7630004883,17.7940006256,star
18.2210006714,17.1989994049,16.8950004578,16.8150005341,16.8129997253,star
19.013999939,17.8330001831,17.5100002289,17.3630008698,17.2070007324,star
17.172000885,16.2210006714,16.0300006866,15.9689998627,16.0069999695,star
19.2719993591,18.4120006561,18.0990009308,17.9050006866,17.8910007477,star
19.5489997864,18.0039997101,17.454000473,17.3129997253,17.172000885,star
20.7579994202,18.4099998474,17.3670005798,16.9839992523,16.7749996185,star
18.7560005188,17.186000824,16.6060009003,16.3980007172,16.2859992981,star
19.0939998627,17.8540000916,17.3010005951,17.0799999237,16.9699993134,star
19.4440002441,18.3069992065,18.2579994202,18.3020000458,18.3339996338,star
19.2800006866,18.2740001678,17.9260005951,17.7719993591,17.763999939,star
18.8500003815,17.9750003815,17.7250003815,17.5909996033,17.5090007782,star
20.8439998627,19.5209999084,18.9510002136,18.6550006866,18.5090007782,star
19.6520004272,18.7010002136,18.3190002441,18.1900005341,18.0760002136,star
16.7520008087,15.1379995346,14.5500001907,14.3500003815,14.2919998169,star
19.138999939,17.6979999542,17.1439990997,16.936000824,16.8589992523,star
18.1040000916,16.9850006104,16.8090000153,16.7369995117,16.7560005188,star
18.4130001068,17.4290008545,17.2329998016,17.2350006104,17.2019996643,star
17.7110004425,16.8509998322,16.4909992218,16.3530006409,16.3020000458,star
20.5310001373,19.6420001984,19.375,19.3509998322,19.2290000916,star
16.7719993591,15.3299999237,14.8100004196,14.6379995346,14.5679998398,star
20.1539993286,18.642999649,18.0450000763,17.8129997253,17.7420005798,star
18.0949993134,17.1879997253,16.8899993896,16.7530002594,16.7479991913,star
18.111000061,16.6140003204,16.0520000458,15.8520002365,15.7670001984,star
18.2579994202,17.1959991455,16.6529998779,16.4340000153,16.3269996643,star
17.9090003967,16.9710006714,16.6240005493,16.5349998474,16.4510002136,star
20.3670005798,18.8680000305,18.2329998016,17.9589996338,17.8360004425,star
21.4599990845,19.8740005493,19.3080005646,19.0979995728,18.9249992371,star
19.861000061,18.6410007477,18.1140003204,17.9009990692,17.7779998779,star
18.017999649,17.6900005341,16.4640007019,16.2870006561,16.2099990845,star
18.1329994202,16.6019992828,16.0079994202,15.795999527,15.6870002747,star
17.4659996033,16.045999527,15.4530000687,15.2239999771,15.1319999695,star
21.2910003662,20.188999176,20.1669998169,20.2539997101,20.079000473,star
19.3369998932,17.3260002136,16.4190006256,16.1289997101,15.9320001602,star
19.7189998627,18.7859992981,18.3880004883,18.2310009003,18.2460002899,star
18.0009994507,16.6180000305,15.9689998627,15.7189998627,15.6000003815,star
18.079000473,16.9549999237,16.4319992065,16.1739997864,16.0310001373,star
18.2430000305,17.4050006866,17.0550003052,16.9290008545,16.9409999847,star
19.1459999084,17.4920005798,16.8589992523,16.5860004425,16.4610004425,star
20.0750007629,19.1299991608,18.8920001984,18.7509994507,18.7059993744,star
18.7460002899,17.2019996643,16.4449996948,16.1770000458,15.9750003815,star
20.2460002899,19.3540000916,19.0130004883,18.8619995117,18.8040008545,star
19.204000473,17.8330001831,17.156999588,16.8460006714,16.7210006714,star
19.4309997559,18.2700004578,17.7439994812,17.6000003815,17.5069999695,star
20.5200004578,19.438999176,18.9619998932,18.7579994202,18.6560001373,star
19.1159992218,18.0340003967,17.7689990997,17.6989994049,17.6790008545,star
18.9459991455,17.9290008545,17.3950004578,17.1779994965,17.0510005951,star
18.1219997406,16.6800003052,16.1490001678,15.9759998322,15.8819999695,star
18.3169994354,16.7779998779,16.0680007935,15.7950000763,15.6120004654,star
18.1849994659,15.9549999237,15.0430002213,14.6540002823,14.4630002975,star
17.9109992981,16.9050006866,16.5349998474,16.4239997864,16.3710002899,star
16.7980003357,15.8900003433,15.5679998398,15.4029998779,15.3979997635,star
20.5009994507,19.658000946,19.3090000153,19.172000885,19.0559997559,star
19.1760005951,17.3320007324,16.6340007782,16.3409996033,16.1919994354,star
16.1730003357,15.3009996414,14.8859996796,14.7299995422,14.704000473,star
19.7520008087,18.7740001678,18.375,18.2490005493,18.2479991913,star
